Entry,Catalytic activity
A0A059WI14,"CATALYTIC ACTIVITY: Reaction=methylarsonous acid + AH2 + O2 = arsenite + methanol + A + H(+); Xref=Rhea:RHEA:82323, ChEBI:CHEBI:13193, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17499, ChEBI:CHEBI:17790, ChEBI:CHEBI:17826, ChEBI:CHEBI:29242; Evidence={ECO:0000269|PubMed:24821808, ECO:0000269|PubMed:28936873}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:82324; Evidence={ECO:0000269|PubMed:24821808}; CATALYTIC ACTIVITY: Reaction=roxarsone (III) + AH2 + O2 = 4-hydroxy-3-nitrocyclohexa-2,5-dien-1-one + arsenite + A + H(+); Xref=Rhea:RHEA:82363, ChEBI:CHEBI:13193, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17499, ChEBI:CHEBI:29242, ChEBI:CHEBI:231974, ChEBI:CHEBI:231975; Evidence={ECO:0000269|PubMed:24821808, ECO:0000269|PubMed:28936873}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:82364; Evidence={ECO:0000269|PubMed:24821808}; CATALYTIC ACTIVITY: Reaction=nitarsone (III) + AH2 + O2 = 4-nitrocyclohexa-2,5-dien-1-one + arsenite + A + H(+); Xref=Rhea:RHEA:82439, ChEBI:CHEBI:13193, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17499, ChEBI:CHEBI:29242, ChEBI:CHEBI:232329, ChEBI:CHEBI:232330; Evidence={ECO:0000269|PubMed:24821808}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:82440; Evidence={ECO:0000305|PubMed:24821808}; CATALYTIC ACTIVITY: Reaction=4-aminophenylarsonous acid + AH2 + O2 = 4-aminocyclohexa-2,5-dien-1-one + arsenite + A; Xref=Rhea:RHEA:82443, ChEBI:CHEBI:13193, ChEBI:CHEBI:15379, ChEBI:CHEBI:17499, ChEBI:CHEBI:29242, ChEBI:CHEBI:50022, ChEBI:CHEBI:232331; Evidence={ECO:0000269|PubMed:24821808}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:82444; Evidence={ECO:0000305|PubMed:24821808};"
A0A075D654,"CATALYTIC ACTIVITY: Reaction=ajmaline + S-adenosyl-L-methionine = 4-methylajmaline + S-adenosyl-L-homocysteine + H(+); Xref=Rhea:RHEA:79631, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:58567, ChEBI:CHEBI:59789, ChEBI:CHEBI:230509; EC=2.1.1.393; Evidence={ECO:0000269|PubMed:27122470}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:79632; Evidence={ECO:0000269|PubMed:27122470}; CATALYTIC ACTIVITY: Reaction=norajmaline + S-adenosyl-L-methionine = 4-methylnorajmaline + S-adenosyl-L-homocysteine + H(+); Xref=Rhea:RHEA:79627, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:77618, ChEBI:CHEBI:230510; EC=2.1.1.393; Evidence={ECO:0000269|PubMed:27122470}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:79628; Evidence={ECO:0000269|PubMed:27122470};"
A0A075D6M1,"CATALYTIC ACTIVITY: Reaction=norajmaline + S-adenosyl-L-methionine = ajmaline + S-adenosyl-L-homocysteine + H(+); Xref=Rhea:RHEA:79599, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:58567, ChEBI:CHEBI:59789, ChEBI:CHEBI:77618; EC=2.1.1.392; Evidence={ECO:0000269|PubMed:27122470, ECO:0000269|PubMed:38212296}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:79600; Evidence={ECO:0000269|PubMed:27122470, ECO:0000269|PubMed:38212296}; CATALYTIC ACTIVITY: Reaction=4-methylnorajmaline + S-adenosyl-L-methionine = 4-methylajmaline + S-adenosyl-L-homocysteine + H(+); Xref=Rhea:RHEA:79603, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:230509, ChEBI:CHEBI:230510; EC=2.1.1.392; Evidence={ECO:0000269|PubMed:27122470}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:79604; Evidence={ECO:0000269|PubMed:27122470};"
A0A077Y877,"CATALYTIC ACTIVITY: Reaction=Fe(2+)(in) = Fe(2+)(out); Xref=Rhea:RHEA:28486, ChEBI:CHEBI:29033; Evidence={ECO:0000269|PubMed:38049852};"
A0A080WMA9,"CATALYTIC ACTIVITY: Reaction=L-aspartate 4-semialdehyde + phosphate + NADP(+) = 4-phospho-L-aspartate + NADPH + H(+); Xref=Rhea:RHEA:24284, ChEBI:CHEBI:15378, ChEBI:CHEBI:43474, ChEBI:CHEBI:57535, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:537519; EC=1.2.1.11; Evidence={ECO:0000269|PubMed:26869335}; PhysiologicalDirection=right-to-left; Xref=Rhea:RHEA:24286; Evidence={ECO:0000269|PubMed:26869335};"
A0A089LCJ8,"CATALYTIC ACTIVITY: Reaction=a beta-D-glucuronoside + H2O = D-glucuronate + an alcohol; Xref=Rhea:RHEA:17633, ChEBI:CHEBI:15377, ChEBI:CHEBI:30879, ChEBI:CHEBI:58720, ChEBI:CHEBI:83411; EC=3.2.1.31; Evidence={ECO:0000269|PubMed:35947916};"
A0A089MMR2,"CATALYTIC ACTIVITY: Reaction=3-O-beta-D-glucosyl-D-glucuronate + phosphate = aldehydo-D-glucuronate + alpha-D-glucose 1-phosphate; Xref=Rhea:RHEA:78711, ChEBI:CHEBI:43474, ChEBI:CHEBI:58601, ChEBI:CHEBI:76826, ChEBI:CHEBI:142686; EC=2.4.1.392; Evidence={ECO:0000269|PubMed:35947916}; CATALYTIC ACTIVITY: Reaction=a 3-O-beta-D-glucosyl-beta-D-glucuronoside + phosphate = a beta-D-glucuronoside + alpha-D-glucose 1-phosphate; Xref=Rhea:RHEA:78699, ChEBI:CHEBI:43474, ChEBI:CHEBI:58601, ChEBI:CHEBI:83411, ChEBI:CHEBI:229542; EC=2.4.1.392; Evidence={ECO:0000269|PubMed:35947916};"
A0A0A8X0K1,"CATALYTIC ACTIVITY: Reaction=selenite + a quinone + H2O = selenate + a quinol; Xref=Rhea:RHEA:51636, ChEBI:CHEBI:15075, ChEBI:CHEBI:15377, ChEBI:CHEBI:18212, ChEBI:CHEBI:24646, ChEBI:CHEBI:132124; EC=1.97.1.14; Evidence={ECO:0000305|PubMed:21357486};"
A0A0A8X338,"CATALYTIC ACTIVITY: Reaction=selenite + a quinone + H2O = selenate + a quinol; Xref=Rhea:RHEA:51636, ChEBI:CHEBI:15075, ChEBI:CHEBI:15377, ChEBI:CHEBI:18212, ChEBI:CHEBI:24646, ChEBI:CHEBI:132124; EC=1.97.1.14; Evidence={ECO:0000305|PubMed:21357486};"
A0A0A8X5N4,"CATALYTIC ACTIVITY: Reaction=selenite + a quinone + H2O = selenate + a quinol; Xref=Rhea:RHEA:51636, ChEBI:CHEBI:15075, ChEBI:CHEBI:15377, ChEBI:CHEBI:18212, ChEBI:CHEBI:24646, ChEBI:CHEBI:132124; EC=1.97.1.14; Evidence={ECO:0000305|PubMed:21357486};"
A0A0B5JC15,CATALYTIC ACTIVITY: Reaction=Endohydrolysis of (1->4)-beta-D-xylosidic linkages in xylans.; EC=3.2.1.8; Evidence={ECO:0000269|PubMed:25629035};
A0A0D1CLQ4,"CATALYTIC ACTIVITY: Reaction=ATP + H2O = ADP + phosphate + H(+); Xref=Rhea:RHEA:13065, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:456216; Evidence={ECO:0000250|UniProtKB:P16521};"
A0A0F6B281,"CATALYTIC ACTIVITY: Reaction=an N-acyl-L-alpha-aminoacyl-tRNA + H2O = an N-acyl-L-amino acid + a tRNA + H(+); Xref=Rhea:RHEA:54448, Rhea:RHEA-COMP:10123, Rhea:RHEA-COMP:13883, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:59874, ChEBI:CHEBI:78442, ChEBI:CHEBI:138191; EC=3.1.1.29; Evidence={ECO:0000255|HAMAP-Rule:MF_00083}; CATALYTIC ACTIVITY: Reaction=N-acetylglycyl-tRNA(Gly) + H2O = N-acetylglycine + tRNA(Gly) + H(+); Xref=Rhea:RHEA:81979, Rhea:RHEA-COMP:9664, Rhea:RHEA-COMP:19766, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:61887, ChEBI:CHEBI:78442, ChEBI:CHEBI:232036; Evidence={ECO:0000305|PubMed:27264868, ECO:0000305|PubMed:29777131};"
A0A0F6B5X4,"CATALYTIC ACTIVITY: Reaction=glycyl-tRNA(Gly) + acetyl-CoA = N-acetylglycyl-tRNA(Gly) + CoA + H(+); Xref=Rhea:RHEA:81867, Rhea:RHEA-COMP:9683, Rhea:RHEA-COMP:19766, ChEBI:CHEBI:15378, ChEBI:CHEBI:57287, ChEBI:CHEBI:57288, ChEBI:CHEBI:78522, ChEBI:CHEBI:232036; Evidence={ECO:0000269|PubMed:29777131, ECO:0000269|PubMed:35609997};"
A0A0F6B8D8,"CATALYTIC ACTIVITY: Reaction=glycyl-tRNA(Gly) + acetyl-CoA = N-acetylglycyl-tRNA(Gly) + CoA + H(+); Xref=Rhea:RHEA:81867, Rhea:RHEA-COMP:9683, Rhea:RHEA-COMP:19766, ChEBI:CHEBI:15378, ChEBI:CHEBI:57287, ChEBI:CHEBI:57288, ChEBI:CHEBI:78522, ChEBI:CHEBI:232036; Evidence={ECO:0000269|PubMed:29777131};"
A0A0F6BAH9,"CATALYTIC ACTIVITY: Reaction=glycyl-tRNA(Gly) + acetyl-CoA = N-acetylglycyl-tRNA(Gly) + CoA + H(+); Xref=Rhea:RHEA:81867, Rhea:RHEA-COMP:9683, Rhea:RHEA-COMP:19766, ChEBI:CHEBI:15378, ChEBI:CHEBI:57287, ChEBI:CHEBI:57288, ChEBI:CHEBI:78522, ChEBI:CHEBI:232036; Evidence={ECO:0000269|PubMed:29777131};"
A0A0F6NRE2,CATALYTIC ACTIVITY: Reaction=Hydrolysis of terminal non-reducing alpha-L-arabinofuranoside residues in alpha-L-arabinosides.; EC=3.2.1.55; Evidence={ECO:0000269|PubMed:25432346};
