Entry,EC number
A0A059WI14,1.13.11.-
A0A075D654,2.1.1.393
A0A075D6M1,2.1.1.392
A0A080WMA9,1.2.1.11
A0A089LCJ8,3.2.1.31
A0A089MMR2,2.4.1.392
A0A0A8X0K1,1.97.1.14
A0A0A8X338,1.97.1.14
A0A0A8X5N4,1.97.1.14
A0A0B5JC15,3.2.1.8
A0A0D1CLQ4,3.6.4.-
A0A0F6B281,3.1.1.29
A0A0F6B5X4,2.3.1.-
A0A0F6B8D8,2.3.1.-
A0A0F6BAH9,2.3.1.-
A0A0F6NRE2,3.2.1.55
A0A0F7TWW9,4.2.1.9
A0A0F7TWX5,4.2.3.-
A0A0F7TZ11,1.-.-.-
A0A0F7U0K0,1.-.-.-
A0A0G4KL96,3.2.1.8
A0A0H2X5R2,2.4.2.12
A0A0H2X6L3,6.3.5.1
A0A0L1JEW4,1.14.14.154
A0A0L1JEX1,1.-.-.-
A0A0L1JEZ9,1.-.-.-
A0A0L1JF11,6.3.2.-
A0A0L1JF88,2.1.1.-
A0A0L1JG62,1.-.-.-; 2.3.1.-
A0A0R0H9T5,5.2.1.8
A0A0U3AB61,1.1.1.336
A0A0U3CEN8,5.1.3.14
A0A0U3S9Q3,1.3.1.73; 1.5.1.-
A0A0U4AHM6,1.1.1.195
A0A0U4BHM2,1.3.1.73; 1.5.1.-
A0A139AVY4,3.6.4.-
A0A166ACJ5,3.2.1.-
A0A172QE52,1.-.-.-; 2.3.1.-
A0A179UL48,1.2.1.11
A0A194VNL2,2.7.11.24
A0A194W8T8,2.7.11.24
A0A194WDG1,2.7.11.24
A0A1B5KW97,2.7.11.24
A0A1C3NEV1,2.7.8.43
A0A1D8PMB8,2.7.2.4
A0A1E3M8P2,1.16.1.10
A0A1H1YBL2,4.4.1.11; 4.4.1.2
A0A1I1NU16,3.4.19.-
A0A1I1NU27,2.3.2.-
A0A1I1P074,6.2.1.-
A0A218NGS0,1.14.14.104
A0A223GB52,2.7.8.7
A0A223HDH4,1.1.1.17
A0A223HDI5,1.1.1.138
A0A261GRE4,1.14.18.1
A0A261GVB1,1.14.18.1
A0A2G0QDN4,1.1.-.-
A0A2G0QDP0,3.5.1.-
A0A2H1K3G9,4.4.1.11; 4.4.1.2
A0A2K3D1C8,2.7.8.41
A0A2T1AE85,2.3.1.312
A0A2Z5U367,2.5.1.-
A0A2Z5U368,1.14.99.-
A0A2Z5U3C2,1.14.14.-
A0A2Z5U507,1.14.20.-
A0A2Z5U6I9,1.14.99.-
A0A2Z5UFJ1,2.1.1.-
A0A2Z5UHX0,6.3.2.-
A0A384J6C4,2.4.-.-; 3.2.1.14
A0A384JN58,2.4.-.-; 3.2.1.14
A0A384JXV5,3.2.1.8
A0A384K116,2.4.-.-; 3.2.1.14
A0A384K474,3.2.1.8
A0A384K4T0,2.4.-.-; 3.2.1.14
A0A385XI11,1.1.1.12
A0A385XI13,3.1.2.-
