Entry,Gene Ontology (cellular component)
A0A023PMT2,extracellular space [GO:0005615]
A0A059U8Y9,extracellular region [GO:0005576]; membrane [GO:0016020]; other organism cell membrane [GO:0044218]
A0A067N4H9,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A067N4P3,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A067N4P7,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; membrane [GO:0016020]
A0A067N582,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A067N648,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A067N7P3,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A067NEJ5,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A067NFU6,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A067NGV3,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A067NHE1,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A067NHW8,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A067NMT6,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A067NN74,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A067NRJ8,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A067NRQ5,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A067P0I9,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A067P1E6,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A067P1K6,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A067P494,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A067P943,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; membrane [GO:0016020]
A0A067PCX8,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A075D654,cytoplasm [GO:0005737]
A0A075D6M1,cytoplasm [GO:0005737]
A0A077Y877,plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774]
A0A080WMA9,cytosol [GO:0005829]; nucleus [GO:0005634]
A0A089LCJ8,cytoplasm [GO:0005737]; extracellular space [GO:0005615]
A0A089MMR2,cytoplasm [GO:0005737]
A0A0A2IC94,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A0A2J434,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A0A2J9B3,nucleus [GO:0005634]
A0A0A2JSZ6,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A0A2K7M3,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A0A8X0K1,extracellular region [GO:0005576]
A0A0A8X338,plasma membrane [GO:0005886]
A0A0A8X5N4,extracellular region [GO:0005576]
A0A0B5JC15,extracellular region [GO:0005576]
A0A0D1BZL3,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A0D1CKI0,fungal-type cell wall [GO:0009277]
A0A0D1CLQ4,cytosol [GO:0005829]
A0A0D1E4Y8,extracellular region [GO:0005576]; nucleus [GO:0005634]
A0A0D1E921,extracellular region [GO:0005576]; plasma membrane [GO:0005886]
A0A0F6B281,cytoplasm [GO:0005737]
A0A0F6NRE2,extracellular region [GO:0005576]
A0A0F7TWW9,mitochondrion [GO:0005739]
A0A0F7TZ11,membrane [GO:0016020]
A0A0F7U0K0,membrane [GO:0016020]
A0A0G4KL96,extracellular region [GO:0005576]
A0A0G4PJR9,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A0H2X6L3,cytoplasm [GO:0005737]
A0A0H3KA40,membrane [GO:0016020]
A0A0J9UHQ6,extracellular region [GO:0005576]
A0A0J9UJP6,extracellular region [GO:0005576]
A0A0J9VT58,nucleus [GO:0005634]
A0A0J9VYS2,nucleus [GO:0005634]
A0A0J9W3S9,nucleus [GO:0005634]
A0A0J9W9G2,nucleus [GO:0005634]
A0A0J9WAS0,nucleus [GO:0005634]
A0A0J9WP80,nucleus [GO:0005634]
A0A0J9WVC0,nucleus [GO:0005634]
A0A0L1JEW4,membrane [GO:0016020]
A0A0L1JF11,cytoplasm [GO:0005737]
A0A0N7FMT9,extracellular region [GO:0005576]; membrane [GO:0016020]; other organism cell membrane [GO:0044218]
A0A0N7KBN8,extracellular region [GO:0005576]; nematocyst [GO:0042151]
A0A0N9LWM6,extracellular region [GO:0005576]; membrane [GO:0016020]; other organism cell membrane [GO:0044218]
A0A0P0UTI6,extracellular region [GO:0005576]; nematocyst [GO:0042151]
A0A0P0UTJ1,extracellular region [GO:0005576]; nematocyst [GO:0042151]
A0A0P0UTQ7,extracellular region [GO:0005576]; nematocyst [GO:0042151]
A0A0R0H9T5,cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
A0A125YQS6,membrane [GO:0016020]
A0A125YWU9,membrane [GO:0016020]
A0A139AVY4,cytosol [GO:0005829]
A0A162LR42,nucleus [GO:0005634]
A0A179UL48,cytosol [GO:0005829]; nucleus [GO:0005634]
A0A194WDG1,cytoplasm [GO:0005737]; nucleus [GO:0005634]
A0A1B5KW97,nucleus [GO:0005634]
A0A1C3NEV1,plasma membrane [GO:0005886]
A0A1D8PMB8,cytosol [GO:0005829]
A0A1H1YBL2,cytoplasm [GO:0005737]
A0A1I9QLC3,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A1I9QLC4,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A1I9QLC5,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A1I9QLC6,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A1I9QLC7,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A1I9QLC8,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A1I9QLC9,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A1I9QLD0,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A1I9QLD1,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A218NGS0,membrane [GO:0016020]
A0A219TTW8,extracellular region [GO:0005576]
A0A223GB52,cytosol [GO:0005829]
A0A223HDH4,cytosol [GO:0005829]
