Entry,Gene Ontology (molecular function)
A0A059WI14,methyltransferase activity [GO:0008168]
A0A067N4H9,structural constituent of cell wall [GO:0005199]
A0A067N4P3,structural constituent of cell wall [GO:0005199]
A0A067N4P7,structural constituent of cell wall [GO:0005199]
A0A067N582,structural constituent of cell wall [GO:0005199]
A0A067N648,structural constituent of cell wall [GO:0005199]
A0A067N7P3,structural constituent of cell wall [GO:0005199]
A0A067NEJ5,structural constituent of cell wall [GO:0005199]
A0A067NFU6,structural constituent of cell wall [GO:0005199]
A0A067NGV3,structural constituent of cell wall [GO:0005199]
A0A067NHE1,structural constituent of cell wall [GO:0005199]
A0A067NHW8,structural constituent of cell wall [GO:0005199]
A0A067NMT6,structural constituent of cell wall [GO:0005199]
A0A067NN74,structural constituent of cell wall [GO:0005199]
A0A067NRJ8,structural constituent of cell wall [GO:0005199]
A0A067NRQ5,structural constituent of cell wall [GO:0005199]
A0A067P0I9,structural constituent of cell wall [GO:0005199]
A0A067P1E6,structural constituent of cell wall [GO:0005199]
A0A067P1K6,structural constituent of cell wall [GO:0005199]
A0A067P494,structural constituent of cell wall [GO:0005199]
A0A067P943,structural constituent of cell wall [GO:0005199]
A0A067PCX8,structural constituent of cell wall [GO:0005199]
A0A075D654,S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]
A0A075D6M1,S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]
A0A077Y877,cadmium ion transmembrane transporter activity [GO:0015086]; manganese ion transmembrane transporter activity [GO:0005384]
A0A080WMA9,aspartate-semialdehyde dehydrogenase activity [GO:0004073]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; protein dimerization activity [GO:0046983]
A0A089LCJ8,beta-galactosidase activity [GO:0004565]; beta-glucuronidase activity [GO:0004566]; carbohydrate binding [GO:0030246]
A0A089MMR2,carbohydrate binding [GO:0030246]; glycosyltransferase activity [GO:0016757]
A0A0A2IC94,structural constituent of cell wall [GO:0005199]
A0A0A2J434,structural constituent of cell wall [GO:0005199]
A0A0A2J9B3,DNA-binding transcription factor activity [GO:0003700]
A0A0A2JSZ6,structural constituent of cell wall [GO:0005199]
A0A0A2K7M3,structural constituent of cell wall [GO:0005199]
A0A0A8X0K1,"4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity [GO:0016491]"
A0A0A8X338,oxidoreductase activity [GO:0016491]
A0A0A8X5N4,"4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]"
A0A0B5JC15,"cellulose binding [GO:0030248]; endo-1,4-beta-xylanase activity [GO:0031176]"
A0A0D1BZL3,structural constituent of cell wall [GO:0005199]
A0A0D1CKI0,structural constituent of cell wall [GO:0005199]
A0A0D1CLQ4,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; RNA binding [GO:0003723]; translation elongation factor activity [GO:0003746]
A0A0F6B281,peptidyl-tRNA hydrolase activity [GO:0004045]; tRNA binding [GO:0000049]
A0A0F6B5X3,DNA binding [GO:0003677]
