Entry,Pathway
A0A075D654,PATHWAY: Alkaloid biosynthesis; ajmaline biosynthesis. {ECO:0000269|PubMed:27122470}.
A0A075D6M1,"PATHWAY: Alkaloid biosynthesis; ajmaline biosynthesis. {ECO:0000269|PubMed:27122470, ECO:0000269|PubMed:38212296}."
A0A080WMA9,PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 2/3. {ECO:0000269|PubMed:26869335}.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 2/5. {ECO:0000269|PubMed:26869335}.
A0A0B5JC15,PATHWAY: Glycan degradation; xylan degradation. {ECO:0000269|PubMed:25629035}.
A0A0D1CLQ4,PATHWAY: Protein biosynthesis; polypeptide chain elongation. {ECO:0000250|UniProtKB:O93796}.
A0A0F7TWW9,PATHWAY: Amino-acid biosynthesis; L-isoleucine biosynthesis; L-isoleucine from 2-oxobutanoate: step 3/4. {ECO:0000250|UniProtKB:Q0CPG9}.; PATHWAY: Amino-acid biosynthesis; L-valine biosynthesis; L-valine from pyruvate: step 3/4. {ECO:0000250|UniProtKB:Q0CPG9}.
A0A0F7TWX5,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:39511739}.
A0A0F7TZ11,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:39511739}.
A0A0F7U0K0,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:39511739}.
A0A0G4KL96,PATHWAY: Glycan degradation; xylan degradation. {ECO:0000255|PROSITE-ProRule:PRU01097}.
A0A0H2X5R2,PATHWAY: Cofactor biosynthesis; NAD(+) biosynthesis; nicotinamide D-ribonucleotide from 5-phospho-alpha-D-ribose 1-diphosphate and nicotinamide: step 1/1. {ECO:0000269|PubMed:38429435}.
A0A0H2X6L3,PATHWAY: Cofactor biosynthesis; NAD(+) biosynthesis; NAD(+) from deamido-NAD(+) (L-Gln route): step 1/1. {ECO:0000255|HAMAP-Rule:MF_02090}.
A0A0L1JEW4,PATHWAY: Steroid biosynthesis; sterol biosynthesis. {ECO:0000250|UniProtKB:Q4WNT5}.
A0A0L1JEX1,PATHWAY: Antifungal biosynthesis. {ECO:0000269|PubMed:33857369}.
A0A0L1JEZ9,PATHWAY: Antifungal biosynthesis. {ECO:0000269|PubMed:33857369}.
A0A0L1JF11,PATHWAY: Antifungal biosynthesis. {ECO:0000269|PubMed:33857369}.
A0A0L1JF88,PATHWAY: Antifungal biosynthesis. {ECO:0000269|PubMed:33857369}.
A0A0L1JG62,PATHWAY: Antifungal biosynthesis. {ECO:0000269|PubMed:33857369}.
A0A0U3AB61,PATHWAY: Capsule biogenesis; capsule polysaccharide biosynthesis. {ECO:0000269|PubMed:38382015}.
A0A0U3CEN8,PATHWAY: Capsule biogenesis; capsule polysaccharide biosynthesis. {ECO:0000269|PubMed:38382015}.
