Entry,Transmembrane
A0A077Y877,"TRANSMEM 237..255; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 289..311; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 332..357; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 363..382; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 394..416; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 436..455; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 476..499; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 530..546; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 567..585; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 597..615; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 635..657; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 663..684; /note=""Helical""; /evidence=""ECO:0000255"""
A0A0A8X338,"TRANSMEM 5..25; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 40..60; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 78..98; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 119..139; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 187..207; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 223..243; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 261..281; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 302..322; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 330..350; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 385..405; /note=""Helical""; /evidence=""ECO:0000255"""
A0A0D1E921,"TRANSMEM 404..424; /note=""Helical""; /evidence=""ECO:0000255"""
A0A0F7TZ11,"TRANSMEM 20..39; /note=""Helical""; /evidence=""ECO:0000255"""
A0A0F7U0K0,"TRANSMEM 6..29; /note=""Helical""; /evidence=""ECO:0000255"""
A0A0H3KA40,"TRANSMEM 9..29; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 41..61; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 84..104; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 118..138; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 153..173; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 175..195; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 202..222; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 231..251; /note=""Helical""; /evidence=""ECO:0000255"""
A0A0L1JEW4,"TRANSMEM 3..23; /note=""Helical""; /evidence=""ECO:0000255"""
A0A125YQS6,"TRANSMEM 65..85; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 137..157; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 158..178; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 187..207; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 216..236; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 250..270; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 334..354; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 367..387; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 392..412; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 423..443; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 455..475; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 489..509; /note=""Helical""; /evidence=""ECO:0000255"""
A0A125YWU9,"TRANSMEM 157..177; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 412..432; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 448..468; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 478..498; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 516..536; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 545..565; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 789..809; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 986..1006; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1013..1033; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1037..1057; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1080..1100; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1114..1134; /note=""Helical""; /evidence=""ECO:0000255"""
A0A1C3NEV1,"TRANSMEM 14..34; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 47..67; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 72..92; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 121..141; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 161..181; /note=""Helical""; /evidence=""ECO:0000255"""
