Entry,pH dependence
A0A075D654,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7.5. {ECO:0000269|PubMed:27122470};
A0A075D6M1,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7.5. {ECO:0000269|PubMed:27122470};
A0A089LCJ8,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 5.9 (PubMed:35947916). Shows high activity in a broad pH range of 5.9 to 7.7 (PubMed:35947916). {ECO:0000269|PubMed:35947916};
A0A089MMR2,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 6.9 (for the reverse phosphorolytic activity) (PubMed:35947916). Stable between pH 6.6 and 8.8 at 4 degrees Celsius for 24 hours (PubMed:35947916). {ECO:0000269|PubMed:35947916};
A0A0B5JC15,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 6.0. {ECO:0000269|PubMed:25629035};
A0A0F6BAH9,"BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7.5, has much less activity at pH 6.0-7.0. {ECO:0000269|PubMed:29777131};"
A0A0F6NRE2,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 5.0. {ECO:0000269|PubMed:25432346};
A0A0U3S9Q3,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 6. {ECO:0000269|PubMed:12391554};
A0A218NGS0,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 6.5-8.5 for the hydroxylation of vinorine (PubMed:28654178). Optimum pH is 4.5 for the isomerization of vomilenine to perakine (PubMed:28654178). {ECO:0000269|PubMed:28654178};
A0A261GRE4,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is between 6 and 8 (PubMed:39382070). Exhibits a relatively broad pH range of activities (over 50% of activity between pH 4.5 and 9.5) (PubMed:39382070). {ECO:0000269|PubMed:39382070};
A0A261GVB1,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is between 4.5 and 6 (PubMed:39382070). Exhibits a rather narrow pH range of activity (over 50% of activity between pH 4 and 7) and no detectable activity above pH 8 (PubMed:39382070). {ECO:0000269|PubMed:39382070};
A0A2H1K3G9,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7.5. Is stable at pHs ranging from 6.0 to 8.0 for 24 hours. {ECO:0000269|PubMed:9726878};
A0A3F2YLV2,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Stable between pH 3-11. Homodimerization increases with increasing pH. {ECO:0000269|PubMed:29969026};
A0A8I6GJ95,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 8.5 to 10.0. {ECO:0000269|PubMed:38944119};
A0A9E7LUL3,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 6-8. {ECO:0000269|PubMed:36349266};
A0A9E7S4M3,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7-8. {ECO:0000269|PubMed:36349266};
A0A9E7S4M4,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 6-7. {ECO:0000269|PubMed:36349266};
A0A9E7S518,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7-8. {ECO:0000269|PubMed:36349266};
A0A9E7S5B9,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7-8. {ECO:0000269|PubMed:36349266};
A0A9E7S5E3,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 6. {ECO:0000269|PubMed:36349266};
A0AA51VIL5,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 9. {ECO:0000269|PubMed:37675639};
A0AA51VKJ3,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 8. {ECO:0000269|PubMed:37675639};
A0AA51Z0J6,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7.5-8. {ECO:0000269|PubMed:37675639};
A0AAT9JA24,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 8.5 to 10.0. {ECO:0000269|PubMed:38944119};
A0QT91,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 5.5 to 7.0 for ATPase. {ECO:0000269|PubMed:23549043};
A3FMN3,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Active from pH 5.5 to 11.0. {ECO:0000269|PubMed:23110062};
A3MTR6,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 8.5 (for phosphoglucose isomerase activity) (PubMed:39208883). Activity is reduced significantly below pH 8.0 and above 9.0 (PubMed:39208883). {ECO:0000269|PubMed:39208883};
A5K9W3,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Active at pH 6.5-8.5.;
A7GKX7,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 8.2 (PubMed:20529859). No activity is observed below pH 4 (PubMed:20529859). {ECO:0000269|PubMed:20529859};
B0XAA1,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 5.5 (PubMed:25746591). Active from pH 3.0 to 8.0 (PubMed:25746591). {ECO:0000269|PubMed:25746591};
B6ZKM3,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 5 with N-deacetylisoipecoside and N-deacetylipecoside as substrates. {ECO:0000269|PubMed:18927081};
C5MR76,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 6.3-6.5. {ECO:0000269|PubMed:19801657};
C7M8J5,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 9.5. {ECO:0000269|PubMed:35414181};
D3KY98,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 8 with N-deacetylisoipecoside as substrate. {ECO:0000269|PubMed:20061395};
D3KY99,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7 with N-deacetylisoipecoside as substrate. {ECO:0000269|PubMed:20061395};
